期数,序列数,BV号,视频标题,作者,播放量,点赞数,弹幕数,评论数,收藏数,分享数
346,1,BV14G1kB5Evp,《崩坏：星穹铁道》动画短片：「你好，世界」,崩坏星穹铁道,6123265,488993,191617,46214,295097,61360
346,2,BV1qT1jBQEqE,加入了galgame青训营,逗比的雀巢,7076100,678746,16399,20722,175171,254039
346,3,BV1eU1vBiEqh,用生命做视频？00后的博主都在做什么？,影视飓风,5094983,350030,11599,6129,120293,20108
346,4,BV1CQ1PBAEGc,《明日方舟：终末地》全面测试PV,明日方舟终末地,9259897,183151,2853,21078,30926,18994
346,5,BV1DsyWBbEQv,两年前第一个打铁花的女孩子，现在怎么样了,江寻千,5809026,209456,17009,2138,41824,2151
346,6,BV1yeyYB5EFt,《望月》城市先导片| 天月市里有什么 & 场景角色纯享演示,望月游戏,6847181,181266,10688,6394,56665,41928
346,7,BV13F1KB2Epk,不要“做”挑战？（第二十期）,小潮院长,7674732,378635,29830,7630,128390,21146
346,8,BV1PYs8zzEKx,2025 bilibili超级科学晚全程回顾（上）,哔哩哔哩弹幕网,3208601,8881,403,274,5528,494
346,9,BV1TG1MBjEqG,我建造了3座最困难的迷宫！并让我的朋友挑战通关...,埋栈Maizhan,10425647,586361,11486,2243,483835,2046
346,10,BV1L11vBBEsW,左右横跳式外交之我的国家只有0.1%T【小约翰】,小约翰可汗,4196104,234539,33677,8972,56982,14045
346,11,BV1Vg1qB3ETQ,围棋永子,归乡人山白,3970254,432269,4496,4817,63958,7445
346,12,BV1ZwyhBtE9r,粤饮四部曲 终,文武俩兄弟,3919612,461334,36982,4487,38531,16615
346,13,BV17m1zBXEQo,宇宙级吃播！网友：馋哭国际空间站了~,央视军事,4353308,248767,14178,13860,31374,17989
346,14,BV1mG1MBjECt,长江水真好喝！,南翔不爱吃饭,8832617,512428,6309,5176,180437,7392
346,15,BV19q1KBnEAn,🐱Some基米 just like this🐱,树深时见鹿dear,3216784,360043,9392,5323,100967,25793
346,16,BV1aGyhBDEdM,校长信箱,脱缰凯Kk,5979364,568513,73770,7061,79921,3268
346,17,BV15c1yB8E1h,♿男よ、来い♿,咕gugugugu,3694242,240688,22266,11809,80771,45241
346,18,BV1cF1TBiEYM,【罗纳尔多】B站，我来了！听说你们叫我外星人？,Ronaldo罗纳尔多,1982923,118256,27834,9486,26765,9897
346,19,BV12E1WBxEZR,【究极佐菲格斗】第三集 死刑！佐菲！再生怪兽 莱布王  亚波人十字架  佐菲机器人  登场,Dennis飞昊,1888276,103007,2654,3360,41853,7622
346,20,BV1C8yQBfEau,网络热传生物鉴定 第57期,无穷小亮的科普日常,3599665,338572,47941,5777,25801,9439
346,21,BV1pG1fBEEGz,大家好，我是NiKo，我今天正式入驻B站啦！,FLC_NiKo,2431656,229714,23518,17496,39534,43622
346,22,BV119yeBJERi,当思想能诞生神明，文明会如何发展？,末影大黑,5303557,224671,22726,7935,146117,20526
346,23,BV1HL1fBjEFz,《K歌之王 AIR (Day Version)》陈奕迅 Eason Chan with The Heritage Orchestra【Official MV】,陳奕迅所長,3284508,121215,2253,4006,57886,27632
346,24,BV14QyeBSEAD,谁惹猫了？,-欣小萌-,1205776,87555,425,1095,44103,2933
346,25,BV19B1MBtExE,"千元平板游戏.互联,办公,影音表现如何?!高性价比平板横评",韭菜实验室,2241170,29556,323,751,6040,1312
346,26,BV1UUyeBXEbT,这张专辑开始周杰伦从暑假消失了?丨11月的萧邦二十周年丨HOPICO,HOPICO,913109,44357,4407,3090,17008,10190
